,JOB_TITLE,Company_Name,link,Location,Time
242,Business Analyst - Health And Wellness,RipplesIndia Group,https://www.linkedin.com/company/varite?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",1 week ago
243,Business Analysts - Unix/pl-sql - Banking Domain,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",https://in.linkedin.com/company/thewebdigitalmantra?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bangalore Urban, Karnataka, India",1 month ago
244,SEO Analyst,Social Matters,https://in.linkedin.com/company/highpointstechnologiesindiapltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",1 day ago
245,Senior Analyst - Market Research,VARITE INC,https://nl.linkedin.com/company/payu?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",1 day ago
246,SEO Analyst,Web Digital Mantra IT Services,https://www.linkedin.com/company/12thwonder?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bangalore Urban, Karnataka, India",4 months ago
247,Business Analyst,HighPoints Technologies India (P) Ltd,https://in.linkedin.com/company/highpointstechnologiesindiapltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bangalore Urban, Karnataka, India",2 months ago
248,Business Analyst,PayU,https://nl.linkedin.com/company/payu?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gurgaon, Haryana, India",2 months ago
249,Sales & Marketing Research Analyst,12th Wonder,https://www.linkedin.com/company/12thwonder?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India",5 days ago
250,Business Analyst,HighPoints Technologies India (P) Ltd,https://in.linkedin.com/company/changeleaders?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bangalore Urban, Karnataka, India",1 week ago
251,Business Analyst,PayU,https://in.linkedin.com/company/changeleaders?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gurgaon, Haryana, India",2 months ago
252,Sales & Marketing Research Analyst,12th Wonder,https://in.linkedin.com/company/changeleaders?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India",5 days ago
253,Business Analyst,Changeleaders.in,https://in.linkedin.com/company/highpointstechnologiesindiapltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",1 week ago
254,Business Analyst,Changeleaders.in,https://in.linkedin.com/company/buzzworks-business-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",3 months ago
255,Business Analyst,Changeleaders.in,https://in.linkedin.com/company/changeleaders?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",2 weeks ago
256,Business Analyst,HighPoints Technologies India (P) Ltd,https://www.linkedin.com/company/libsysinc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",4 weeks ago
257,Business Analyst,Buzzworks Business Services Pvt. Ltd.,https://www.linkedin.com/company/stonewain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru North, Karnataka, India",1 month ago
258,Business Analyst,Changeleaders.in,https://www.linkedin.com/company/priceline-com?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",1 month ago
259,Business Analyst,Libsys Inc,https://www.linkedin.com/company/feedspot?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",3 months ago
260,Business Analyst,Stonewain Systems — An EquiLend Company,https://www.linkedin.com/company/pitney-bowes?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India",3 months ago
261,Business Analyst,Priceline,https://in.linkedin.com/company/recosenselabs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",3 months ago
262,Search Engine Optimization Analyst,Feedspot,https://www.linkedin.com/company/genpact?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",1 week ago
263,B2B Marketing Campaign Analyst,Pitney Bowes,https://in.linkedin.com/company/ok-lifecare-private-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India",3 months ago
264,Market Research Analyst,RecoSense Labs Inc,https://in.linkedin.com/company/pixelvide-web-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",2 months ago
265,BA-Analytics-ANA008028,Genpact,https://www.linkedin.com/company/perficient?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",4 months ago
266,BUSINESS ANALYST,Ok Lifecare Private Limited,https://in.linkedin.com/company/changeleaders?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bihar Sharif, Bihar, India",1 week ago
267,Business Analyst,Pixelvide,https://www.linkedin.com/company/cognizant?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bhopal, Madhya Pradesh, India",1 month ago
268,AEM Business Analyst,Perficient,https://www.linkedin.com/company/cognizant?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Bengaluru Area,1 week ago
269,Business Analyst,Changeleaders.in,https://in.linkedin.com/company/nexjob?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",3 months ago
270,Business Analyst,Cognizant,https://in.linkedin.com/company/edprime?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",1 month ago
271,Business Analyst,Cognizant,https://www.linkedin.com/company/micron-technology?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",2 months ago
272,Business Analysis,neXjob.in,https://www.linkedin.com/company/cognizant?trk=public_jobs_jserp-result_job-search-card-subtitle,"Delhi, Delhi, India",2 weeks ago
273,Business Analyst,EdPrime,https://in.linkedin.com/company/nexjob?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jodhpur, Rajasthan, India",4 days ago
274,"Business Analyst, RBAC",Micron Technology,https://www.linkedin.com/company/micron-technology?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",2 weeks ago
275,Business Analyst,Cognizant,https://in.linkedin.com/company/manektech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",3 days ago
276,Business Analysis,neXjob.in,https://in.linkedin.com/company/edprime?trk=public_jobs_jserp-result_job-search-card-subtitle,"Delhi, Delhi, India",1 week ago
277,"Business Analyst, RBAC",Micron Technology,https://uk.linkedin.com/company/transmission-b2b?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",1 day ago
278,Business Analyst,ManekTech,https://www.linkedin.com/company/observeai?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ahmedabad, Gujarat, India",4 months ago
279,Business Analyst,EdPrime,https://www.linkedin.com/company/expertus?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jodhpur, Rajasthan, India",6 days ago
